Mode,Metric,Mean,Std,CI_Lower,CI_Upper,CI_95%
Unaided,SENSITIVITY,0.625846557750941,0.028225503540389277,0.5688073394495413,0.6818181818181818,"[0.569, 0.682]"
Unaided,SPECIFICITY,0.7505752924062433,0.027176196773068283,0.7010051546391752,0.8089887640449438,"[0.701, 0.809]"
Unaided,PPV,0.752969868809113,0.028014091176813385,0.6987732178714859,0.8061306780776827,"[0.699, 0.806]"
Unaided,NPV,0.6227615025500787,0.027832329673420395,0.5714285714285714,0.6788990825688074,"[0.571, 0.679]"
Assisted,SENSITIVITY,0.5955690080641312,0.026618708599040197,0.543859649122807,0.6460176991150443,"[0.544, 0.646]"
Assisted,SPECIFICITY,0.8430285071244813,0.02350721364079215,0.8,0.8902439024390244,"[0.800, 0.890]"
Assisted,PPV,0.8410522217442138,0.02368376113561159,0.7974683544303798,0.8888888888888888,"[0.797, 0.889]"
Assisted,NPV,0.5991206590747854,0.027119388925965146,0.5446267857142857,0.6521831245394252,"[0.545, 0.652]"
Delta (A-U),SENSITIVITY,-0.030277549686809787,0.037612559470995253,-0.10131754660843734,0.04079739754014686,"[-0.101, +0.041]"
Delta (A-U),SPECIFICITY,0.09245321471823797,0.03661233655925495,0.016073307119883456,0.16468076442137783,"[+0.016, +0.165] *"
Delta (A-U),PPV,0.0880823529351008,0.03716259860657394,0.01111040122668032,0.1612510600763073,"[+0.011, +0.161] *"
Delta (A-U),NPV,-0.023640843475293303,0.03868720448637656,-0.10120247695852531,0.052221494574816396,"[-0.101, +0.052]"
