Mode,Metric,Mean,Std,CI_Lower,CI_Upper,CI_95%
Unaided,SENSITIVITY,0.8441528507483383,0.023203292470605805,0.797576530612245,0.8888888888888888,"[0.798, 0.889]"
Unaided,SPECIFICITY,0.20760431918974057,0.023843254751764537,0.1588785046728972,0.25248014121800527,"[0.159, 0.252]"
Unaided,PPV,0.47410989989840346,0.024027928110744442,0.4268292682926829,0.5207162597881161,"[0.427, 0.521]"
Unaided,NPV,0.6114974679341372,0.04945823634862618,0.5151298701298701,0.7027027027027027,"[0.515, 0.703]"
Assisted,SENSITIVITY,0.7295807647905685,0.026029458477774346,0.6806554621848739,0.7798165137614679,"[0.681, 0.780]"
Assisted,SPECIFICITY,0.6210867364218743,0.030357190696243742,0.5646686950642326,0.678239863584691,"[0.565, 0.678]"
Assisted,PPV,0.6924456670955974,0.024947945796628183,0.6446280991735537,0.7413793103448276,"[0.645, 0.741]"
Assisted,NPV,0.662703215085615,0.030957063838531126,0.6025568181818182,0.7215533018148543,"[0.603, 0.722]"
Delta (A-U),SENSITIVITY,-0.11457208595776973,0.03533867237164648,-0.18427900893367047,-0.043640417457305555,"[-0.184, -0.044] *"
Delta (A-U),SPECIFICITY,0.41348241723213375,0.037640855568134575,0.341743200564432,0.490802615254016,"[+0.342, +0.491] *"
Delta (A-U),PPV,0.21833576719719391,0.0343591506070278,0.1539685099227146,0.2879804426020533,"[+0.154, +0.288] *"
Delta (A-U),NPV,0.05120574715147792,0.0593965294614543,-0.061155161908838386,0.17049130246104618,"[-0.061, +0.170]"
