Mode,Metric,Mean,Std,CI_Lower,CI_Upper,CI_95%
Unaided,SENSITIVITY,0.6117571257798342,0.028603469339136926,0.5566723940435281,0.6699053398058252,"[0.557, 0.670]"
Unaided,SPECIFICITY,0.6004534677646756,0.029395722625096436,0.5436840439003799,0.65625,"[0.544, 0.656]"
Unaided,PPV,0.615971654972518,0.028244245812010814,0.5612244897959183,0.6727272727272727,"[0.561, 0.673]"
Unaided,NPV,0.596150648808421,0.031159493647647224,0.5360642507549724,0.6565730837789662,"[0.536, 0.657]"
Assisted,SENSITIVITY,0.6062930477446744,0.02701472263300673,0.553715318772137,0.6555042016806722,"[0.554, 0.656]"
Assisted,SPECIFICITY,0.8157941144620624,0.025364965856535363,0.7666358024691359,0.8642218060757386,"[0.767, 0.864]"
Assisted,PPV,0.8172852638426834,0.02507273978358751,0.7692307692307693,0.8658940640611225,"[0.769, 0.866]"
Assisted,NPV,0.6039088062145904,0.028046004344097018,0.5478056484578223,0.6605545543905635,"[0.548, 0.661]"
Delta (A-U),SENSITIVITY,-0.005464078035159696,0.039052712574841546,-0.08470263626926766,0.06518528938021638,"[-0.085, +0.065]"
Delta (A-U),SPECIFICITY,0.21534064669738676,0.03868167452736026,0.14133260379254928,0.2968587528063335,"[+0.141, +0.297] *"
Delta (A-U),PPV,0.2013136088701653,0.03764221304315145,0.12788786009804418,0.27462042938698333,"[+0.128, +0.275] *"
Delta (A-U),NPV,0.007758157406169444,0.04140218171842161,-0.07367379199985387,0.09233614270517959,"[-0.074, +0.092]"
