Threshold,NB_Assisted,NB_Unaided,NB_Treat_All,NB_Treat_None,Delta_NB
0.0500,0.342351,0.336777,0.560584,0.000000,+0.005575
0.0541,0.342054,0.336267,0.558688,0.000000,+0.005787
0.0582,0.341754,0.335753,0.556775,0.000000,+0.006001
0.0622,0.341452,0.335235,0.554846,0.000000,+0.006217
0.0663,0.341147,0.334712,0.552900,0.000000,+0.006435
0.0704,0.340839,0.334185,0.550937,0.000000,+0.006655
0.0745,0.340529,0.333653,0.548956,0.000000,+0.006876
0.0786,0.340216,0.333116,0.546958,0.000000,+0.007100
0.0827,0.339900,0.332574,0.544943,0.000000,+0.007326
0.0867,0.339581,0.332028,0.542909,0.000000,+0.007553
0.0908,0.339260,0.331477,0.540857,0.000000,+0.007783
0.0949,0.338935,0.330920,0.538786,0.000000,+0.008015
0.0990,0.338608,0.330359,0.536697,0.000000,+0.008249
0.1031,0.338277,0.329793,0.534589,0.000000,+0.008485
0.1071,0.337944,0.329221,0.532461,0.000000,+0.008723
0.1112,0.337607,0.328644,0.530314,0.000000,+0.008963
0.1153,0.337268,0.328062,0.528147,0.000000,+0.009206
0.1194,0.336925,0.327475,0.525960,0.000000,+0.009450
0.1235,0.336579,0.326882,0.523753,0.000000,+0.009698
0.1276,0.336230,0.326283,0.521524,0.000000,+0.009947
0.1316,0.335878,0.325679,0.519275,0.000000,+0.010199
0.1357,0.335522,0.325069,0.517005,0.000000,+0.010453
0.1398,0.335163,0.324453,0.514713,0.000000,+0.010709
0.1439,0.334800,0.323832,0.512400,0.000000,+0.010968
0.1480,0.334434,0.323204,0.510064,0.000000,+0.011230
0.1520,0.334064,0.322570,0.507706,0.000000,+0.011494
0.1561,0.333691,0.321931,0.505325,0.000000,+0.011760
0.1602,0.333314,0.321285,0.502920,0.000000,+0.012030
0.1643,0.332934,0.320633,0.500493,0.000000,+0.012301
0.1684,0.332550,0.319974,0.498041,0.000000,+0.012576
0.1724,0.332162,0.319309,0.495565,0.000000,+0.012853
0.1765,0.331770,0.318637,0.493065,0.000000,+0.013133
0.1806,0.331374,0.317959,0.490540,0.000000,+0.013415
0.1847,0.330974,0.317274,0.487989,0.000000,+0.013701
0.1888,0.330571,0.316581,0.485413,0.000000,+0.013989
0.1929,0.330163,0.315882,0.482811,0.000000,+0.014281
0.1969,0.329751,0.315176,0.480182,0.000000,+0.014575
0.2010,0.329335,0.314463,0.477527,0.000000,+0.014872
0.2051,0.328914,0.313742,0.474844,0.000000,+0.015172
0.2092,0.328490,0.313014,0.472133,0.000000,+0.015476
0.2133,0.328060,0.312278,0.469395,0.000000,+0.015782
0.2173,0.327627,0.311535,0.466628,0.000000,+0.016092
0.2214,0.327189,0.310783,0.463831,0.000000,+0.016405
0.2255,0.326746,0.310024,0.461006,0.000000,+0.016721
0.2296,0.326298,0.309257,0.458150,0.000000,+0.017041
0.2337,0.325846,0.308482,0.455264,0.000000,+0.017364
0.2378,0.325389,0.307698,0.452347,0.000000,+0.017691
0.2418,0.324927,0.306906,0.449399,0.000000,+0.018021
0.2459,0.324460,0.306105,0.446419,0.000000,+0.018354
0.2500,0.323988,0.305296,0.443406,0.000000,+0.018692
