Threshold,NB_Assisted,NB_Unaided,NB_Treat_All,NB_Treat_None,Delta_NB
0.0500,0.383342,0.360387,0.514675,0.000000,+0.022955
0.0541,0.382549,0.358420,0.512580,0.000000,+0.024129
0.0582,0.381750,0.356436,0.510468,0.000000,+0.025314
0.0622,0.380944,0.354435,0.508337,0.000000,+0.026509
0.0663,0.380130,0.352416,0.506188,0.000000,+0.027714
0.0704,0.379310,0.350380,0.504020,0.000000,+0.028930
0.0745,0.378482,0.348326,0.501832,0.000000,+0.030157
0.0786,0.377647,0.346253,0.499626,0.000000,+0.031394
0.0827,0.376805,0.344162,0.497399,0.000000,+0.032643
0.0867,0.375955,0.342053,0.495153,0.000000,+0.033902
0.0908,0.375097,0.339924,0.492887,0.000000,+0.035173
0.0949,0.374232,0.337776,0.490600,0.000000,+0.036456
0.0990,0.373359,0.335609,0.488292,0.000000,+0.037750
0.1031,0.372478,0.333422,0.485964,0.000000,+0.039056
0.1071,0.371589,0.331215,0.483614,0.000000,+0.040374
0.1112,0.370691,0.328988,0.481242,0.000000,+0.041704
0.1153,0.369786,0.326740,0.478849,0.000000,+0.043046
0.1194,0.368872,0.324471,0.476433,0.000000,+0.044401
0.1235,0.367949,0.322181,0.473995,0.000000,+0.045768
0.1276,0.367018,0.319870,0.471534,0.000000,+0.047148
0.1316,0.366078,0.317537,0.469051,0.000000,+0.048541
0.1357,0.365130,0.315182,0.466543,0.000000,+0.049947
0.1398,0.364172,0.312805,0.464012,0.000000,+0.051367
0.1439,0.363205,0.310405,0.461456,0.000000,+0.052800
0.1480,0.362229,0.307982,0.458877,0.000000,+0.054247
0.1520,0.361243,0.305536,0.456272,0.000000,+0.055707
0.1561,0.360248,0.303066,0.453642,0.000000,+0.057182
0.1602,0.359243,0.300572,0.450987,0.000000,+0.058671
0.1643,0.358229,0.298054,0.448305,0.000000,+0.060175
0.1684,0.357204,0.295511,0.445598,0.000000,+0.061694
0.1724,0.356170,0.292942,0.442863,0.000000,+0.063227
0.1765,0.355125,0.290349,0.440102,0.000000,+0.064776
0.1806,0.354069,0.287729,0.437313,0.000000,+0.066340
0.1847,0.353004,0.285084,0.434496,0.000000,+0.067920
0.1888,0.351927,0.282411,0.431650,0.000000,+0.069515
0.1929,0.350839,0.279712,0.428776,0.000000,+0.071127
0.1969,0.349741,0.276985,0.425873,0.000000,+0.072755
0.2010,0.348631,0.274231,0.422940,0.000000,+0.074400
0.2051,0.347510,0.271448,0.419977,0.000000,+0.076062
0.2092,0.346377,0.268636,0.416983,0.000000,+0.077741
0.2133,0.345233,0.265796,0.413958,0.000000,+0.079437
0.2173,0.344076,0.262925,0.410902,0.000000,+0.081151
0.2214,0.342908,0.260025,0.407814,0.000000,+0.082883
0.2255,0.341727,0.257093,0.404693,0.000000,+0.084633
0.2296,0.340534,0.254131,0.401539,0.000000,+0.086402
0.2337,0.339327,0.251138,0.398352,0.000000,+0.088190
0.2378,0.338108,0.248112,0.395130,0.000000,+0.089997
0.2418,0.336876,0.245054,0.391873,0.000000,+0.091823
0.2459,0.335631,0.241962,0.388582,0.000000,+0.093669
0.2500,0.334372,0.238837,0.385254,0.000000,+0.095535
