Threshold,NB_Assisted,NB_Unaided,NB_Treat_All,NB_Treat_None,Delta_NB
0.0500,0.344811,0.298082,0.554025,0.000000,+0.046729
0.0541,0.344457,0.297190,0.552101,0.000000,+0.047267
0.0582,0.344100,0.296291,0.550160,0.000000,+0.047809
0.0622,0.343740,0.295384,0.548202,0.000000,+0.048356
0.0663,0.343377,0.294469,0.546227,0.000000,+0.048908
0.0704,0.343011,0.293546,0.544234,0.000000,+0.049465
0.0745,0.342641,0.292615,0.542224,0.000000,+0.050026
0.0786,0.342269,0.291676,0.540197,0.000000,+0.050593
0.0827,0.341893,0.290728,0.538151,0.000000,+0.051164
0.0867,0.341513,0.289772,0.536087,0.000000,+0.051741
0.0908,0.341130,0.288807,0.534004,0.000000,+0.052323
0.0949,0.340744,0.287834,0.531902,0.000000,+0.052910
0.0990,0.340354,0.286851,0.529782,0.000000,+0.053503
0.1031,0.339961,0.285860,0.527642,0.000000,+0.054101
0.1071,0.339564,0.284860,0.525483,0.000000,+0.054704
0.1112,0.339163,0.283850,0.523304,0.000000,+0.055313
0.1153,0.338759,0.282832,0.521104,0.000000,+0.055927
0.1194,0.338351,0.281803,0.518885,0.000000,+0.056548
0.1235,0.337939,0.280766,0.516644,0.000000,+0.057174
0.1276,0.337523,0.279718,0.514383,0.000000,+0.057805
0.1316,0.337104,0.278661,0.512100,0.000000,+0.058443
0.1357,0.336680,0.277593,0.509796,0.000000,+0.059087
0.1398,0.336253,0.276516,0.507470,0.000000,+0.059737
0.1439,0.335821,0.275428,0.505122,0.000000,+0.060393
0.1480,0.335385,0.274330,0.502752,0.000000,+0.061055
0.1520,0.334945,0.273221,0.500358,0.000000,+0.061724
0.1561,0.334501,0.272102,0.497941,0.000000,+0.062399
0.1602,0.334053,0.270971,0.495501,0.000000,+0.063081
0.1643,0.333600,0.269830,0.493037,0.000000,+0.063770
0.1684,0.333142,0.268677,0.490549,0.000000,+0.064465
0.1724,0.332680,0.267513,0.488036,0.000000,+0.065167
0.1765,0.332214,0.266338,0.485499,0.000000,+0.065876
0.1806,0.331743,0.265151,0.482936,0.000000,+0.066592
0.1847,0.331267,0.263951,0.480347,0.000000,+0.067315
0.1888,0.330786,0.262740,0.477733,0.000000,+0.068046
0.1929,0.330301,0.261517,0.475092,0.000000,+0.068784
0.1969,0.329810,0.260281,0.472424,0.000000,+0.069529
0.2010,0.329315,0.259032,0.469729,0.000000,+0.070282
0.2051,0.328814,0.257771,0.467006,0.000000,+0.071043
0.2092,0.328309,0.256497,0.464255,0.000000,+0.071812
0.2133,0.327798,0.255209,0.461475,0.000000,+0.072588
0.2173,0.327282,0.253908,0.458667,0.000000,+0.073373
0.2214,0.326760,0.252594,0.455829,0.000000,+0.074166
0.2255,0.326233,0.251265,0.452961,0.000000,+0.074967
0.2296,0.325700,0.249923,0.450063,0.000000,+0.075777
0.2337,0.325161,0.248566,0.447134,0.000000,+0.076596
0.2378,0.324617,0.247194,0.444173,0.000000,+0.077423
0.2418,0.324067,0.245808,0.441181,0.000000,+0.078259
0.2459,0.323511,0.244407,0.438156,0.000000,+0.079104
0.2500,0.322949,0.242991,0.435099,0.000000,+0.079958
